,datecode,type,start_phrase,end_phrase,,
169,19960820,FOMC1,,,,
170,19960924,FOMC1,,,,
171,19960924,FOMC2,,,,
172,19961113,FOMC1,,,,
173,19961113,FOMC2,,,,
174,19961217,FOMC2,,,,
175,19961217,FOMC1,,,,
176,19970205,FOMC2,,,,
177,19970205,FOMC1,,,,
178,19970325,FOMC2,,,,
179,19970325,FOMC1,,,,
180,19970520,FOMC1,,,,
181,19970520,FOMC2,,,,
182,19970702,FOMC2,,,,
183,19970702,FOMC1,,,,
184,19970819,FOMC2,,,,
185,19970819,FOMC1,,,,
186,19970930,FOMC1,,,,
187,19970930,FOMC2,,,,
188,19971112,FOMC2,,,,
189,19971112,FOMC1,,,,
190,19971216,FOMC1,,,,
191,19971216,FOMC2,,,,
192,19980204,FOMC1,,,,
193,19980204,FOMC2,,,,
194,19980331,FOMC1,,,,
195,19980331,FOMC2,,,,
196,19980519,FOMC1,,,,
197,19980519,FOMC2,,,,
198,19980701,FOMC1,,,,
199,19980701,FOMC2,,,,
200,19980818,FOMC2,,,,
201,19980818,FOMC1,,,,
202,19980929,FOMC1,,,,
203,19980929,FOMC2,,,,
204,19981117,FOMC2,,,,
205,19981117,FOMC1,,,,
206,19981222,FOMC1,,,,
207,19981222,FOMC2,,,,
208,19990203,FOMC2,,,,
209,19990203,FOMC1,,,,
210,19990330,FOMC2,,,,
211,19990330,FOMC1,,,,
212,19990518,FOMC2,,,,
213,19990518,FOMC1,,,,
214,19990630,FOMC1,,,,
215,19990630,FOMC2,,,,
216,19990824,FOMC1,,,,
217,19990824,FOMC2,,,,
218,19991005,FOMC2,,,,
219,19991005,FOMC1,,,,
220,19991116,FOMC1,,,,
221,19991116,FOMC2,,,,
222,19991221,FOMC1,,,,
223,19991221,FOMC2,,,,
224,20000202,FOMC2,,,,
225,20000202,FOMC1,,,,
226,20000321,FOMC1,,,,
227,20000321,FOMC2,,,,
228,20000516,FOMC1,,,,
229,20000516,FOMC2,,,,
230,20000628,FOMC1,,,,
231,20000628,FOMC2,,,,
232,20000822,FOMC2,,,,
233,20000822,FOMC1,,,,
234,20001003,FOMC1,,,,
235,20001003,FOMC2,,,,
236,20001115,FOMC1,,,,
237,20001115,FOMC2,,,,
238,20001219,FOMC1,,,,
239,20001219,FOMC2,,,,
240,20010131,FOMC2,,,,
241,20010131,FOMC1,,,,
242,20010320,FOMC1,,,,
243,20010320,FOMC2,,,,
244,20010515,FOMC1,,,,
245,20010515,FOMC2,,,,
246,20010627,FOMC1,,,,
247,20010627,FOMC2,,,,
248,20010821,FOMC2,,,,
249,20010821,FOMC1,,,,
250,20011002,FOMC2,,,,
251,20011002,FOMC1,,,,
252,20011106,FOMC1,,,,
253,20011106,FOMC2,,,,
254,20011211,FOMC2,,,,
255,20011211,FOMC1,,,,
256,20020130,FOMC1,,,,
257,20020130,FOMC2,,,,
258,20020319,FOMC2,,,,
259,20020319,FOMC1,,,,
260,20020507,FOMC1,,,,
261,20020507,FOMC2,,,,
262,20020626,FOMC1,,,,
263,20020626,FOMC2,,,,
264,20020813,FOMC1,,,,
265,20020813,FOMC2,,,,
266,20020924,FOMC2,,,,
267,20020924,FOMC1,,,,
268,20021106,FOMC2,,,,
269,20021106,FOMC1,,,,
270,20021210,FOMC1,,,,
271,20021210,FOMC2,,,,
272,20030129,FOMC1,,,,
273,20030129,FOMC2,,,,
274,20030318,FOMC2,,,,
275,20030318,FOMC1,,,,
276,20030506,FOMC2,,,,
277,20030506,FOMC1,,,,
278,20030625,FOMC1,,,,
279,20030625,FOMC2,,,,
280,20030812,FOMC2,,,,
281,20030812,FOMC1,,,,
282,20030915,FOMC1,,,,
283,20030915,FOMC2,,,,
284,20030916,FOMC1,,,,
285,20030916,FOMC2,,,,
286,20031028,FOMC1,,,,
287,20031028,FOMC2,,,,
288,20031209,FOMC1,,,,
289,20031209,FOMC2,,,,
290,20040128,FOMC2,,,,
291,20040128,FOMC1,,,,
292,20040316,FOMC2,,,,
293,20040316,FOMC1,,,,
294,20040504,FOMC1,,,,
295,20040504,FOMC2,,,,
296,20040630,FOMC2,,,,
297,20040630,FOMC1,,,,
298,20040810,FOMC2,,,,
299,20040810,FOMC1,,,,
300,20040921,FOMC2,,,,
301,20040921,FOMC1,,,,
302,20041110,FOMC2,,,,
303,20041110,FOMC1,,,,
304,20041214,FOMC1,,,,
305,20041214,FOMC2,,,,
306,20050202,FOMC2,,,,
307,20050202,FOMC1,,,,
308,20050322,FOMC2,,,,
309,20050322,FOMC1,,,,
310,20050503,FOMC2,,,,
311,20050503,FOMC1,,,,
312,20050630,FOMC2,,,,
313,20050630,FOMC1,,,,
314,20050809,FOMC1,,,,
315,20050809,FOMC2,,,,
316,20050920,FOMC1,,,,
317,20050920,FOMC2,,,,
318,20051101,FOMC1,,,,
319,20051101,FOMC2,,,,
320,20051213,FOMC1,,,,
321,20051213,FOMC2,,,,
322,20060131,FOMC2,,,,
323,20060131,FOMC1,,,,
324,20060328,FOMC2,,,,
325,20060328,FOMC1,,,,
326,20060510,FOMC2,,,,
327,20060510,FOMC1,,,,
328,20060629,FOMC1,,,,
329,20060629,FOMC2,,,,
330,20060808,FOMC1,,,,
331,20060808,FOMC2,,,,
332,20060920,FOMC1,"If there are no more questions, we’re ready for the economic go-around. For the benefit of our new member, the convention is that you raise one hand to be recognized and be put in the queue; if you have a comment or question, raise two hands for an","Thank you. Let me just summarize quickly what I heard around the table, and then I’d like to make some additional comments of my own on the economy. The sense is that, on the real side, there’s a two-tier economy. There’s the housing",,
333,20060920,FOMC2,"Thank you, Mr. Chairman and some participants. [Laughter] Over the intermeeting period, tumbling oil prices, better-behaved inflation, and the minutes of the August meeting, which conveyed a more widespread disinclination to","I will be reading the language from page 25 of the Bluebook directive first. “The Federal Open Market Committee seeks monetary and financial conditions that will foster price stability and promote sustainable growth in output. To further its long-run objectives,",,
334,20061025,FOMC1,"Any other questions? Dave and Karen, thank you, as always, for a very good report. We’re ready now for the economic go-round. We haven’t made much use of the two-handed intervention lately, but it’s an option. If you want to make a","Okay. Let me ask the Committee’s preference here. The reception tonight starts at 5:45, followed by dinner half an hour later. We can adjourn now, or Vince is prepared to give his opening remarks on the policy session, which would allow us to",,
335,20061025,FOMC2,"Good morning. We’ve already heard Vincent’s report on the statement and policy proposals, so we’ll begin the program this morning with the policy go-round. After that, we’ll have our discussion on communications. We’ll adjourn at that point.","I’ll be reading the directive wording and the risk assessment for alternative B from page 29 of the Bluebook: “The Federal Open Market Committee seeks monetary and financial conditions that will foster price stability and promote sustainable growth in output. To further its long-run objectives,",,
336,20061212,FOMC1,"Are there other questions? If not, we’re ready for our economic go-round. As always, two-handed interventions are available. President Yellen.","Thank you. Let me just summarize and add a few comments. As Governor Kroszner mentioned, we had an avalanche of data, and the snowman is still standing in the same place as before. [Laughter] Most people still see a two-track or bimodal economy. In the first part of the economy—",,
337,20061212,FOMC2,"Thanks, Mr. Chairman. I will be referring to the material that was distributed labeled “Material for FOMC Briefing on Monetary Policy Alternatives.” Financial market conditions eased noticeably on balance over the","I’ll be reading the directive and risk assessment from page 23 of the Bluebook. “The Federal Open Market Committee seeks monetary and financial conditions that will foster price stability and promote sustainable growth in output. To further its long-run objectives,",,
338,20070131,FOMC1,"Seeing that there are no further questions, I propose that we start the economic go-round. Remember, we do have the two-handed option if anyone cares to exercise it. President Yellen.","Yes, I don’t know what the overall number is; I know only what the contributions are. We’ll be able to get the overall number by break time. Taking on board our differences of opinion about the December figures, we’d probably be writing down, with the",,
339,20070131,FOMC2,"Thank you, Mr. Chairman. I’ll be referring to the handout “Material for FOMC Briefing on Monetary Policy Alternatives.” As noted in the top left panel of your first exhibit, the path of policy expectations rotated up over the","I’ll read the directive from page 25 of the Bluebook. “The Federal Open Market Committee seeks monetary and financial conditions that will foster price stability and promote sustainable growth in output. To further its long-run objectives,",,
340,20070321,FOMC2,That won’t be noted in the transcript. [Laughter] I’ll be referring to the materials right in front of you. Financial markets were volatile over the intermeeting period amid a repricing of risky assets. As can be seen in the top left,"Okay. Let me start with the directive on page 28 of the Bluebook. “The Federal Open Market Committee seeks monetary and financial conditions that will foster price stability and promote sustainable growth in output. To further its long-run objectives,",,
341,20070321,FOMC1,"Are there other questions? If not, we are ready for the economic go-round. President Yellen.",Thank you. I hope you’ll join me now in bidding farewell to Governor Bies. We will reconvene tomorrow at 9:00 a.m.,,
342,20070509,FOMC2,"Thank you, Mr. Chairman. I’ll be referring to the materials that were passed around during the coffee break. For the past few years, the Committee has taken a “belt and suspenders” approach to providing guidance to financial markets by",I’ll be reading the directive and the risk assessment from page 23 of the Bluebook. “The Federal Open Market Committee seeks monetary and financial conditions that will foster price stability and promote sustainable growth in output. To further its long-run,,
343,20070509,FOMC1,"Thank you, Mr. Chairman. My assessment of the economic outlook and the risks to it is largely unchanged since our last meeting. The data since that meeting have been mixed. On the one hand, the very sluggish real GDP growth in the first quarter gives me pause concerning","Thank you. Let me try to summarize the discussion around the table and take any comments on the summary, and then I would like to add just a few thoughts.",,
344,20070628,FOMC1,"Thank you, Vincent. Thanks for reminding us that this projection counts in some sense, right? [Laughter] Also, I think it is very useful for us to have the discipline of thinking about how our projections fit together. Are there","All in all, there still seems to be general agreement that the risks to inflation remain to the upside and remain the predominant concern. Is that a reasonable summary? Are there any comments?",,
345,20070628,FOMC2,"Thank you, Mr. Chairman. Two personal notes to start: First, I am the last person between you and British food, which means that I’m not sure whether it is in your interest for me to speak quickly or slowly. [Laughter] Second, this week marks the first anniversary of the Committee’s last policy action—the quarter-point",I will be reading the directive from page 29 of the Bluebook. “The Federal Open Market Committee seeks monetary and financial conditions that will foster price stability and promote sustainable growth in output. To further its long-run,,
346,20070807,FOMC1,"Other questions? We’ll begin our economic go-round then. For President Rosengren’s benefit—as you probably know, if we have a comment or a question for","Thank you for the useful discussion. As usual, I am going to very briefly summarize what I heard. I will be happy to take any comments on that. Then I just want to make a few short points. Again, most of the key points have been made. Most participants expect growth to remain moderate over the forecast period. Despite",,
347,20070807,FOMC2,"Thanks, Mr. Chairman. I’ll be referring to the package labeled “Material for FOMC Briefing on Monetary Policy Alternatives.” Financial markets have experienced exceptional strains over the intermeeting period. The Bluebook provided a thorough review of these developments through Thursday, and I","I’ll read the directive wording from the Bluebook and the balance of risk assessment from Brian’s handout. “The Federal Open Market Committee seeks monetary and financial conditions that will foster price stability and promote sustainable growth in output. To further its long-run objectives,",,
348,20070918,FOMC1,"Other questions? If not, we are ready for our economic go-round. For President Evans’s benefit, we do have two-handed interventions as a possibility. It’s like the discount window—rarely used but there if you need it.","Thank you, and thank you all. Let me just briefly summarize and make a few additional comments. Financial market conditions were a key theme of our discussion today. Recent developments in financial markets have been reflected in reduced willingness to take risk and in tighter credit conditions. Bank balance sheets are a",,
349,20070918,FOMC2,"Thank you, Mr. Chairman. To guard against the contingency that our security procedures have broken down and the Committee’s policy drafts are being monitored by unknown forces, the staff has taken countermeasures by circulating multiple drafts of table 1. [Laughter] Of the two drafts circulated this","I’ll be reading the directive from page 35 of the Bluebook, and the assessment of risks from the table distributed today. “The Federal Open Market Committee seeks monetary and financial conditions that will foster price stability and promote sustainable growth in output. To further its long-run objectives,",,
350,20071031,FOMC1,"Thank you, Mr. Chairman. I will talk a little about the District this time. It continues to perform well, with ongoing weakness in the housing sector offset by strength in agriculture and energy. As has been true for a while, construction activity remains mixed, with weakness in residential construction offset by continued strength in commercial construction. In","Thank you. Thank you everyone. Let me try to summarize this discussion. It is a little harder than usual. Broadly, the macroeconomic news came in slightly better than expected during the intermeeting period. Housing has been very weak, as expected; but consumption, investment, and net exports were relatively strong in recent months.",,
351,20071031,FOMC2,"Thank you, Mr. Chairman. I will be referring to the package labeled “Material for FOMC Briefing on Monetary Policy Alternatives.” That package includes two versions of table 1: The first is the version that was discussed in the Bluebook, and the second is a revised version dated October 31. The revised","Okay. I withdraw that. Any other comments? All right. If not, Ms. Danker will call the roll. Let’s just note for the record that for the first time we will be voting on the entire statement.",,
352,20071211,FOMC1,"Thank you, Mr. Chairman. At the time of our last meeting, I held out hope that the financial turmoil would gradually ebb and the economy might escape without serious damage. Subsequent developments have severely shaken that belief. The bad news since",But I think I’m in the camp of those who see a fundamental softening going on here. One indicator is the pattern of final demand. This zigzag pattern has been mostly in a situation with basically about 2 percent growth in final demand but with quarter-to-,,
353,20071211,FOMC2,"Brian, thank you very much for that answer. I have a clarifying question because I’m not quite sure I caught, in the way you talked about the economic risks in section 4 of alternative B, how they could be added. One thing that I wanted to ask about is that in section 2 there’s no mention of downside economic risks. At least the five or six times I read it, I couldn’t",The vote today encompasses the directive from the Bluebook and the language of alternative B that was in the Bluebook and in the handout. The directive reads as follows: “The Federal Open Market Committee seeks monetary and financial conditions that will foster price stability and promote sustainable growth in output. To further its long-run,,
354,20080130,FOMC1,"If it is okay with everybody, we can start the economic go-round at this point. President Poole, you are up.","However, there appears to be a law of nature that the turnaround in the housing market is always six months from the present date. We simply don’t have any evidence whatsoever that the housing market is bottoming out. We have guesses and estimates about how far prices will fall and how far demand and construction will fall. The key issue is",,
355,20080130,FOMC2,"Thank you, Mr. Chairman. I will be referring to the package labeled “Material for FOMC Briefing on Monetary Policy Alternatives.” Your policy decision today takes place against an unusually complicated and uncertain backdrop.","Yes. The vote is on the language for alternative B as it is in the Bluebook and in Brian’s handout and on the directive from the Bluebook, which I will read.",,
356,20080318,FOMC1,"Other questions? If not, we will begin our economic go-round. President Hoenig.","Thank you very much. Thank you for all of your comments. Let me just briefly summarize and add a few points. To summarize the discussion, incoming data have been weak, and some view the economy as having entered recession. Housing demand and",,
357,20080318,FOMC2,"Thanks, Mr. Chairman. I will be referring to the revised version of table 1 distributed earlier today in the package labeled “Material for FOMC Briefing on Monetary Policy Alternatives.” The revised table presents the",The vote will encompass the directive I’ll read from the Bluebook and the statement for alternative A in the chart that you have in front of you. “The Federal Open Market Committee seeks monetary and financial conditions that will,,
358,20080430,FOMC2,"I will be referring to the revised version of table 1, which is included in the package labeled “Material for the FOMC Briefing on Monetary Policy Alternatives.” The revised table presents the same range of options regarding the","This vote encompasses the language of alternative B in the table that was handed out as part of Bill’s briefing yesterday, as well as the directive from the Bluebook. “The Federal Open Market Committee seeks monetary and financial conditions that will foster price stability and promote sustainable growth in output. To further its long-run objectives,",,
359,20080430,FOMC1,"Other questions? If not, let’s start our go-round. President Evans.","Thank you, and thank you all for very helpful comments. As usual, let me briefly summarize what I heard today and then make a few comments of my own. Again, in summary, data since the March meeting have been soft, and economic activity is",,
360,20080625,FOMC1,Thank you. Any other questions? Okay. We are about ready for our go-round. Let me remind you about the proposal to add a long-term line to our projections. The rationale for doing so is that the current system doesn’t necessarily let the,"Thank you, and thank you all. First, on the long-term projections, I think there’s consensus that we should just go ahead and have a trial run. The staff should review the transcript and make gold out of straw there. We should consult with the",,
361,20080625,FOMC2,"Thank you, Mr. Chairman. I will begin by referring to the draft announcement language in table 1, included in the package labeled “Material for FOMC Briefing on Monetary Policy Alternatives.” As Chairman Bernanke noted",Yes. This vote applies to the directive as well as the language of the statement in alternative B of exhibit 1. “The Federal Open Market Committee seeks monetary and financial conditions that will foster price stability and promote sustainable growth in output.,,
362,20080805,FOMC1,"I have President Fisher, and then if it’s okay with everybody, we should probably start our go-round. President Fisher.","You want it before 2:15, though. All right. Well, I spent a lot of time through the meeting and during the break working up a crystalline summary of the discussion. [Laughter] But I am a bit concerned about getting to lunch and avoiding the 2:15",,
363,20080805,FOMC2,"Thank you, Mr. Chairman. If you prefer, in the interest of time, I can cut back my remarks to focus just on the policy statement and not the general background. I will be referring to the version of table 1 included in the",Yes. This vote includes the alternative B language from the table distributed this morning and the directive from the Bluebook. “The Federal Open Market Committee seeks monetary and financial conditions that will,,
364,20080916,FOMC1,"I will be referring to the package labeled “Material for FOMC Briefing on Monetary Policy Alternatives and Trial Run Survey Results.” The results of the survey are shown in exhibit 2. In the interest of time, I will not",I will be reading the directive from the Bluebook and the statement that was just circulated. “The Federal Open Market Committee seeks monetary and financial,x,ONLY ONE ROUND THIS MEETING
365,20080916,FOMC2,"I will be referring to the package labeled “Material for FOMC Briefing on Monetary Policy Alternatives and Trial Run Survey Results.” The results of the survey are shown in exhibit 2. In the interest of time, I will not",I will be reading the directive from the Bluebook and the statement that was just circulated. “The Federal Open Market Committee seeks monetary and financial,x,x
366,20081029,FOMC2,"Thank you, Mr. Chairman. I will be referring to the version of table 1 that was distributed to you on Monday. It is reproduced in the package before you labeled “Material for Briefing on Monetary Policy Alternatives.” Changes","Yes. This vote encompasses the language of alternative A that was in the package passed out earlier today as well as the directive from the Bluebook, which states the following: “The Federal Open Market Committee seeks monetary and financial conditions that will",,
367,20081029,FOMC1,"Well, why don’t we turn part of our dinner period to the go- round. Let’s start with President Lockhart.","Okay. Thank you. Let me try to summarize all that I heard today and yesterday, and then I’ll try to add some new comments to that. The outlook for economic growth appears to have deteriorated quite significantly since the last meeting. Data on",,
368,20081216,FOMC2,"Thank you, Mr. Chairman. I will be referring to the package labeled “Material for FOMC Briefing on Monetary Policy Alternatives.” This package includes the October policy statement, draft policy statements for this","Yes, that’s right. The vote will encompass the statement as Brian Madigan read it and the draft directive for alternative B as was shown in the handout. Since it is longer this time and we are short of time, I won’t read it.",,
369,20081216,FOMC1,"Good morning, everybody. Let’s start off today with the economic outlook. Dan, will you be taking the lead?","Why don’t we reconvene, have a brief summary of our go-round, and then I will make just a few additional comments. The participants noted that the economic downturn has intensified sharply recently with significant downside risks to the",,
370,20090128,FOMC1,With the understanding that we will continue to look at all these programs and review them and that we always have the option to restructure and rationalize what we do. Any thoughts or comments on the communication issue? All right. If,"Why don’t we reconvene. I can start by offering a summary of the discussion around the table, which was informative as always but fairly uniform this time. The intermeeting data, as we have seen, indicate a very sharp contraction, both",,
371,20090128,FOMC2,I will be referring to the package labeled “Material for FOMC Briefing on Monetary Policy Alternatives.” This package includes the revised versions of the draft statements that were distributed on Monday. By lowering the,Okay. “The Federal Open Market Committee decided today to keep its target range for the federal funds rate at 0 to ¼ percent. The Committee continues to anticipate that economic conditions are likely to warrant exceptionally low levels of the federal funds rate for some time.,,
372,20090318,FOMC2,"As indicated by the Greenbook and by your discussion this morning, the economic outlook has deteriorated markedly over the intermeeting period. At the same time, the options for applying additional stimulus quickly appear","All right. Would anyone else like to speak on that question? (No response.) If not, do you want to take the roll on the swap lines?",,
373,20090318,FOMC1,"Others? No other questions? [No response.] Okay. Then, we’re ready to begin our economic go-round. I’m going to start with President Bullard.","Let me start by trying to summarize the discussion around the table, and then I’ll give a few additional comments. The group agreed that the economic outlook has worsened significantly, and although it wasn’t noted, we have seen very sharp",,
374,20090429,FOMC1,"Okay. We’re ready to begin with our economic go-round. Let me start with President Rosengren. Eric, when you’re ready.",Any questions? Okay. I have the rare advantage of having had overnight to work out my summary of the discussion so it may be somewhat more coherent than usual. Let me start with that. The intermeeting period saw some tentative evidence of,,
375,20090429,FOMC2,"Thank you, Mr. Chairman. I will be referring to the package labeled “Material for Briefing on Monetary Policy Alternatives.” The April Bluebook presented two basic policy alternatives for your consideration. Under","I will give it a shot, and the eventual vote will be on both the alternative B directive from the Bluebook—I don’t think it is affected by this language change—and the statement that I am about to read. Please correct me if I don’t have it right.",,
376,20090624,FOMC1,Thank you. We’ll begin our economic go-round with President Plosser.,"Okay, let’s recommence. I have a summary, which I will read to you. Most participants saw a slowing contraction and tentative signs of stabilization in economic activity. Business and household confidence has improved some, and surveys show",,
377,20090624,FOMC2,"Thank you, Mr. Chairman. Before I begin, let me note that Carol Low has available a corrected version of the chart from yesterday that had the date axis labeled incorrectly.","Yes. The vote covers the statement that’s in the packet that was handed out today, with two changes. One is dropping the phrase “and indicators of consumer and business sentiment have risen.” The other is dropping the bracketed sentence at the bottom.",,
378,20090812,FOMC2,"Thank you, Mr. Chairman. I’ll be referring to the package labeled “Material for Briefing on Monetary Policy Alternatives,” which includes the same set of statements that was distributed earlier this week. Although the economic outlook has changed only gradually on balance, the economic and financial situation",Yes. This vote encompasses the language of alternative B (revised) for the August FOMC statement and the directive from page 60 of the Bluebook.,,
379,20090812,FOMC1,"Other questions? Seeing none, we are ready for our economic go-round. President Evans.","Thank you, and thank you all. Let me try to summarize the discussion I heard around the table, and then I’ll add a few comments. There was a substantial consensus that the economy is stabilizing, albeit at a low level, and that the technical recession is ending. Conditions are quite heterogeneous, but that in itself was viewed by some as characteristic",,
380,20090923,FOMC2,"Thanks, Mr. Chairman. I’ll be referring to the package labeled “Material for Briefing on Monetary Policy Alternatives.” This package includes alternatives A and C as they were presented in the Bluebook and the revised","Yes. This vote will encompass alternative B with the changes described by Brian Madigan, as well as directive B, also with the changes described by Brian Madigan.",,
381,20090923,FOMC1,"Thank you. Other questions? (No response.) Okay, seeing none, why don’t we begin our economic go-round? And President Lockhart, you’re the leadoff hitter.","Thanks, Mr. Chairman. I’ll be referring to the package labeled “Material for Briefing on Monetary Policy Alternatives.” This package includes alternatives A and C as they were presented in the Bluebook and the revised",,
382,20091104,FOMC2,"Thank you, Mr. Chairman. I will be referring to the package labeled “Material for Briefing on Monetary Policy Alternatives.” This package includes the revised versions of the draft policy statements that were distributed on","This vote will encompass the alternative B policy statement on page 3 of the packet on monetary policy alternatives, as well as the directive for alternative B on page 9 of that same packet.",,
383,20091104,FOMC1,"I’m detecting a theme here. Okay. Then we’re ready to begin our go-round. President Lockhart, you’re lead-off hitter.","Any other comments, questions? All right. Brian, let me turn to you for introducing the policy round.",,
384,20091216,FOMC1,"Thank you, Mr. Chairman. We have had some heartening news since the last meeting. In particular, the employment report was stronger than most analysts expected, with the economy losing only 11,000 jobs. However, it is obvious, but still important,","Thank you. Any questions for Bill? [No response.] Okay. I did have overnight to put together my pithy summary, so let me just try to summarize what I thought was a good discussion yesterday. Economic indicators since the last meeting were generally a bit more positive than expected. Participants cited the November labor report, retail sales, trade data, housing, and",,
385,20091216,FOMC2,"Thanks, Mr. Chairman. I will be referring to the package labeled “Material for Briefing on Monetary Policy Alternatives.” This package includes the draft policy statements for alternatives A, B, and C as they appeared in the Bluebook","As Brian indicated, this vote will cover the directive on page 8 of the handout and the statement on page 3 with the modifications that Brian read.",,
